WS3R MOMENTUM-TRUE ENTRY MECH  -  150 TRADES  -  dr, OPEN and rev EXIT
generated 2026-09-17 23:42:26 UTC

  entry   ws23.py TRIG=3   dr latch ws1Mage/ws13m STOCK no wob
          trigger = first ws3r momentum-true toward dr in the cycle
          hi tf   = highest of ws4..ws12 momentum-true at the trigger bar, else ws3
          open    = ws1x oob run >= 3 bars = 15 s, then back in bounds
  exit    first ws1mage-rev strictly after the open, at the trade OWN dr, wherever it lands.
          No dr-flip fallback. A trade with no such event stays open to the tape end.
  window  2026-09-01 -> 2026-09-06
  source  161 dr cycles -> 7 no trigger -> 4 no entry cross -> 150 trades
  dr      +1 72   -1 78

  #       dr OPEN                 rev EXIT            
  -----------------------------------------------------
  1       -1 08-31 22:03:40       09-01 02:10:15      
  2       +1 09-01 00:07:55       09-01 00:27:20      
  3       -1 09-01 01:18:00       09-01 02:10:15      
  4       +1 09-01 01:47:05       09-01 03:40:05      
  5       -1 09-01 02:00:00       09-01 02:10:15      
  6       +1 09-01 02:53:30       09-01 03:40:05      
  7       -1 09-01 03:29:35       09-01 05:01:15      
  8       +1 09-01 03:39:30       09-01 03:40:05      
  9       -1 09-01 04:50:25       09-01 05:01:15      
  10      +1 09-01 05:08:25       09-01 05:43:05      
  11      -1 09-01 06:42:10       09-01 07:14:45      
  12      +1 09-01 07:30:00       09-01 13:47:45      
  13      -1 09-01 08:13:45       09-01 08:18:00      
  14      +1 09-01 09:28:05       09-01 13:47:45      
  15      -1 09-01 12:17:40       09-01 12:41:30      
  16      +1 09-01 13:35:05       09-01 13:47:45      
  17      -1 09-01 15:11:40       09-01 16:15:20      
  18      -1 09-01 16:05:55       09-01 16:15:20      
  19      +1 09-01 17:26:20       09-01 17:27:50      
  20      -1 09-01 18:01:30       09-01 18:19:45      
  21      +1 09-01 19:08:45       09-02 07:11:00      
  22      -1 09-01 20:00:40       09-01 21:18:10      
  23      +1 09-01 21:02:00       09-02 07:11:00      
  24      -1 09-01 21:16:00       09-01 21:18:10      
  25      +1 09-01 22:52:30       09-02 07:11:00      
  26      -1 09-01 23:07:50       09-01 23:25:00      
  27      +1 09-01 23:39:40       09-02 07:11:00      
  28      -1 09-02 00:33:10       09-02 00:39:25      
  29      +1 09-02 01:15:45       09-02 07:11:00      
  30      -1 09-02 01:33:10       09-02 01:41:15      
  31      +1 09-02 02:57:20       09-02 07:11:00      
  32      -1 09-02 03:47:25       09-02 05:06:15      
  33      -1 09-02 05:13:10       09-02 07:30:30      
  34      +1 09-02 05:19:10       09-02 07:11:00      
  35      -1 09-02 06:09:40       09-02 07:30:30      
  36      +1 09-02 06:44:45       09-02 07:11:00      
  37      -1 09-02 07:19:30       09-02 07:30:30      
  38      +1 09-02 08:18:20       09-02 14:09:10      
  39      -1 09-02 08:35:15       09-02 08:48:00      
  40      +1 09-02 10:23:25       09-02 14:09:10      
