
Per-stop aggregate (ceiling=0.7%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
    0.11     150      79      992      5  18.7%    1.0578    +242.25    -109.12     +133.13
    0.15     197     103      919      7  24.5%    1.0617    +318.51    -137.85     +180.66
    0.19     242     114      860     10  29.0%    1.0726    +381.86    -163.40     +218.46
    0.23     262     126      828     10  31.6%    1.0677    +414.25    -190.44     +223.81
    0.27     292     136      786     12  34.9%    1.0720    +458.79    -212.22     +246.57
    0.31     312     144      757     13  37.2%    1.0757    +490.53    -234.67     +255.86
    0.35     330     152      731     13  39.3%    1.0772    +519.20    -255.85     +263.35
    0.39     353     155      704     14  41.4%    1.0807    +548.99    -274.56     +274.43
    0.43     364     167      681     14  43.3%    1.0772    +572.00    -292.83     +279.17
    0.47     381     175      656     14  45.4%    1.0792    +600.05    -308.32     +291.73
    0.51     403     180      629     14  47.6%    1.0859    +633.08    -320.79     +312.29
    0.55     418     191      603     14  49.7%    1.0873    +662.19    -331.65     +330.54
    0.59     435     195      581     15  51.4%    1.0897    +686.50    -342.79     +343.71
    0.63     446     205      560     15  53.1%    1.0902    +709.72    -352.80     +356.92
    0.67     460     206      544     16  54.3%    1.0927    +727.73    -364.48     +363.25
    0.71     475     212      523     16  56.0%    1.0940    +751.55    -371.33     +380.22
    0.75     485     211      513     17  56.8%    1.0961    +762.86    -384.75     +378.11
    0.79     500     206      502     18  57.6%    1.1008    +777.16    -396.58     +380.58
    0.83     512     202      493     19  58.2%    1.1043    +788.48    -409.19     +379.29
    0.87     523     199      485     19  58.9%    1.1071    +799.34    -421.95     +377.39
    0.91     531     198      478     19  59.5%    1.1088    +808.34    -434.98     +373.36
    0.95     544     192      470     20  60.0%    1.1139    +819.83    -446.50     +373.33
    0.99     551     187      467     21  60.2%    1.1175    +824.73    -462.33     +362.40
    1.03     560     182      463     21  60.5%    1.1214    +832.07    -476.89     +355.18
    1.07     565     182      456     23  60.9%    1.1219    +838.07    -487.92     +350.15
    1.11     578     178      446     24  61.7%    1.1254    +850.82    -495.06     +355.76
    1.15     599     176      426     25  63.2%    1.1286    +874.69    -489.90     +384.79
    1.19     613     171      413     29  63.9%    1.1317    +887.25    -491.47     +395.78
    1.23     618     164      399     45  63.8%    1.1318    +885.07    -490.77     +394.30
    1.27     624     160      388     54  63.9%    1.1324    +887.79    -492.76     +395.03
    1.31     631     154      383     58  64.0%    1.1330    +889.41    -501.73     +387.68
    1.35     640     148      374     64  64.3%    1.1338    +893.47    -504.90     +388.57
    1.39     649     147      364     66  64.9%    1.1347    +903.22    -505.96     +397.26
    1.43     655     142      357     72  65.0%    1.1358    +905.27    -510.51     +394.76
    1.47     661     132      351     82  64.7%    1.1386    +902.92    -515.97     +386.95
    1.51     672     122      341     91  64.8%    1.1417    +906.55    -514.91     +391.64


Per-stop aggregate (ceiling=1.0%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
  ------  ------  ------  -------  -----  -----  --------  ---------  ---------  ----------
    0.07     101      58     1064      4  13.0%    0.9097    +144.64     -74.48      +70.16
    0.11     157      72      992      6  18.7%    0.9237    +211.53    -109.12     +102.41
    0.15     205      95      919      8  24.4%    0.9274    +278.21    -137.85     +140.36
    0.19     250     106      860     11  29.0%    0.9341    +332.55    -163.40     +169.15
    0.23     270     118      828     11  31.6%    0.9303    +360.95    -190.44     +170.51
    0.27     303     125      786     13  34.9%    0.9322    +398.98    -212.22     +186.76
    0.31     327     129      757     14  37.2%    0.9344    +426.08    -234.67     +191.41
    0.35     349     133      731     14  39.3%    0.9349    +450.63    -255.85     +194.78
    0.39     372     136      704     15  41.4%    0.9367    +475.84    -274.56     +201.28
    0.43     387     144      681     15  43.3%    0.9350    +496.47    -292.83     +203.64
    0.47     409     147      656     15  45.3%    0.9365    +520.71    -308.32     +212.39
    0.51     435     148      629     15  47.5%    0.9412    +548.74    -320.79     +227.95
    0.55     455     154      603     15  49.6%    0.9430    +574.27    -331.65     +242.62
    0.59     474     156      581     16  51.3%    0.9445    +595.02    -342.79     +252.23
    0.63     493     158      560     16  53.1%    0.9454    +615.45    -352.80     +262.65
    0.67     509     157      544     17  54.3%    0.9469    +630.64    -364.48     +266.16
    0.71     526     161      523     17  56.0%    0.9479    +651.24    -371.33     +279.91
    0.75     538     158      513     18  56.7%    0.9489    +660.41    -384.75     +275.66
    0.79     553     153      502     19  57.5%    0.9514    +671.72    -396.58     +275.14
    0.83     565     149      493     20  58.2%    0.9533    +680.64    -409.19     +271.45
    0.87     576     146      485     20  58.8%    0.9547    +689.29    -421.95     +267.34
    0.91     584     145      478     20  59.4%    0.9557    +696.69    -434.98     +261.71
    0.95     597     139      470     21  60.0%    0.9587    +705.58    -446.50     +259.08
    0.99     604     134      467     22  60.1%    0.9608    +709.09    -462.33     +246.76
    1.03     613     129      463     22  60.5%    0.9631    +714.62    -476.89     +237.73
    1.07     618     129      456     24  60.9%    0.9633    +719.62    -487.92     +231.70
    1.11     631     125      446     25  61.6%    0.9653    +729.77    -495.06     +234.71
    1.15     652     123      426     26  63.2%    0.9670    +749.45    -489.90     +259.55
    1.19     668     120      413     26  64.2%    0.9690    +763.57    -491.47     +272.10
    1.23     680     120      399     28  65.2%    0.9695    +775.57    -490.77     +284.80
    1.27     691     120      388     28  66.1%    0.9699    +786.57    -492.76     +293.81
    1.31     695     120      383     29  66.4%    0.9700    +790.57    -501.73     +288.84
    1.35     704     120      374     29  67.2%    0.9704    +799.57    -504.90     +294.67
    1.39     713     120      364     30  67.9%    0.9707    +808.57    -505.96     +302.61
    1.43     715     119      357     36  68.0%    0.9708    +809.63    -510.51     +299.12
    1.47     718     112      351     46  67.6%    0.9712    +806.12    -515.97     +290.15
    1.51     729     102      341     55  67.7%    0.9718    +807.55    -514.91     +292.64
