Per-stop aggregate (ceiling=0.7%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
    1.35    3950    1537     2298    137  69.3%    1.2795   +7020.82   -3102.30    +3918.52
    1.39    3998    1539     2246    139  69.9%    1.2805   +7090.28   -3121.94    +3968.34
    1.43    4055    1529     2193    145  70.5%    1.2821   +7159.24   -3135.99    +4023.25
    1.47    4107    1518     2145    152  71.0%    1.2835   +7219.88   -3153.15    +4066.73
    1.51    4155    1513     2093    161  71.5%    1.2845   +7280.74   -3160.43    +4120.31
	
	
	Per-stop aggregate (ceiling=1.2%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
  ------  ------  ------  -------  -----  -----  --------  ---------  ---------  ----------
    0.07     996     706     6218      3  21.5%    1.0545   +1794.84    -435.26    +1359.58
    0.11    1216     816     5886      5  25.6%    1.0615   +2156.89    -647.46    +1509.43
    0.15    1400     898     5618      7  29.0%    1.0667   +2451.30    -842.70    +1608.60
    0.19    1582     979     5354      8  32.3%    1.0696   +2739.17   -1017.26    +1721.91
    0.23    1735    1047     5132      9  35.1%    1.0696   +2975.69   -1180.36    +1795.33
    0.27    1900    1098     4915     10  37.8%    1.0739   +3219.67   -1327.05    +1892.62
    0.31    2029    1129     4755     10  39.9%    1.0784   +3405.52   -1474.05    +1931.47
    0.35    2154    1175     4584     10  42.0%    1.0798   +3594.51   -1604.40    +1990.11
    0.39    2290    1194     4428     11  44.0%    1.0841   +3776.89   -1726.92    +2049.97
    0.43    2405    1214     4292     12  45.7%    1.0869   +3933.37   -1845.56    +2087.81
    0.47    2516    1229     4166     12  47.3%    1.0898   +4081.32   -1958.02    +2123.30
    0.51    2643    1249     4017     14  49.1%    1.0930   +4254.09   -2048.67    +2205.42
    0.55    2736    1283     3890     14  50.7%    1.0953   +4402.02   -2139.50    +2262.52
    0.59    2843    1284     3780     16  52.1%    1.0984   +4533.09   -2230.20    +2302.89
    0.63    2932    1300     3672     19  53.4%    1.1006   +4657.78   -2313.36    +2344.42
    0.67    3022    1309     3566     26  54.7%    1.1018   +4772.05   -2389.22    +2382.83
    0.71    3114    1320     3462     27  56.0%    1.1036   +4893.25   -2458.02    +2435.23
    0.75    3202    1330     3360     31  57.2%    1.1052   +5008.93   -2520.00    +2488.93
    0.79    3281    1328     3280     34  58.2%    1.1074   +5104.05   -2591.20    +2512.85
    0.83    3351    1327     3210     35  59.0%    1.1092   +5188.79   -2664.30    +2524.49
    0.87    3458    1311     3117     37  60.2%    1.1123   +5304.62   -2711.79    +2592.83
    0.91    3555    1308     3018     42  61.4%    1.1143   +5418.65   -2746.38    +2672.27
    0.95    3644    1294     2941     44  62.3%    1.1172   +5516.70   -2793.95    +2722.75
    0.99    3728    1291     2859     45  63.3%    1.1195   +5618.60   -2830.41    +2788.19
    1.03    3811    1274     2793     45  64.2%    1.1223   +5706.80   -2876.79    +2830.01
    1.07    3869    1268     2739     47  64.8%    1.1236   +5772.00   -2930.73    +2841.27
    1.11    3941    1260     2673     49  65.6%    1.1257   +5854.60   -2967.03    +2887.57
    1.15    4002    1264     2602     55  66.5%    1.1267   +5933.18   -2992.30    +2940.88
    1.19    4063    1263     2538     59  67.2%    1.1277   +6006.31   -3020.22    +2986.09
    1.23    4110    1264     2480     69  67.8%    1.1282   +6063.01   -3050.40    +3012.61
