2026-09-03 00:24:42  DatabaseManager             INFO      MySQL connected
2026-09-03 00:24:42  DatabaseManager             INFO      MySQL disconnected
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars
  ws30r flips to true  at dr +1 : 287
  ws30r flips to true  at dr -1 : 287
  ws20r flips to false at dr +1 : 326
  ws20r flips to false at dr -1 : 319
  rows: 1,219

  utc                  event           dr   from      to        
  2026-08-04 19:06:45  ws30r true      +1   sideways  momo      
  2026-08-04 19:06:55  ws30r true      +1   sideways  momo      
  2026-08-04 19:56:00  ws20r false     +1   momo      none      
  2026-08-04 20:12:20  ws30r true      +1   sideways  momo      
  2026-08-04 20:13:35  ws30r true      +1   sideways  momo      
  2026-08-04 20:13:45  ws30r true      +1   sideways  momo      
  2026-08-04 20:14:30  ws30r true      +1   sideways  momo      
  2026-08-04 20:18:20  ws30r true      +1   sideways  momo      
  2026-08-04 20:19:55  ws30r true      +1   sideways  momo      
  2026-08-04 20:20:30  ws30r true      +1   sideways  momo      
  2026-08-04 20:20:55  ws30r true      +1   sideways  momo      
  2026-08-04 20:24:25  ws30r true      +1   sideways  momo      
  2026-08-04 20:25:20  ws30r true      +1   sideways  momo      
  2026-08-04 20:25:55  ws30r true      +1   sideways  momo      
  2026-08-04 20:26:05  ws30r true      +1   sideways  momo      
  2026-08-04 20:26:35  ws30r true      +1   sideways  momo      
  2026-08-04 20:27:10  ws30r true      +1   sideways  momo      
  2026-08-04 20:28:50  ws30r true      +1   sideways  momo      
  2026-08-04 20:29:35  ws30r true      +1   sideways  momo      
  2026-08-04 20:30:20  ws30r true      +1   sideways  momo      
  2026-08-04 20:31:35  ws30r true      +1   sideways  momo      
  2026-08-04 20:31:45  ws30r true      +1   sideways  momo      
  2026-08-04 20:32:30  ws30r true      +1   sideways  momo      
  2026-08-04 20:32:55  ws30r true      +1   sideways  momo      
  2026-08-04 20:34:40  ws30r true      +1   sideways  momo      
  2026-08-04 20:35:35  ws30r true      +1   sideways  momo      
  2026-08-04 20:46:25  ws30r true      +1   sideways  momo      
  2026-08-04 20:47:20  ws30r true      +1   sideways  momo      
  2026-08-04 20:52:25  ws30r true      +1   sideways  momo      
  2026-08-04 20:52:40  ws30r true      +1   sideways  momo      
  2026-08-04 20:55:10  ws30r true      +1   sideways  momo      
  2026-08-04 20:59:20  ws30r true      +1   sideways  momo      
