2026-09-03 04:08:53  DatabaseManager             INFO      MySQL connected
2026-09-03 04:08:53  DatabaseManager             INFO      MySQL disconnected
  K_WINDOW 3   MOMO_SLOPE_MIN 1.2   MOMO_R2_MIN 0.5   LEVEL_SLACK 13.9
  ws20r false-flip fires on: sideways or none
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars

  CHECK, the 08-04 run that started this: ws20r dr -1, banked extrema 07:00:10
    momentum-false bars 06:30 to 07:40 under the combined setting: 06:31:00 -> sideways, 06:31:35 -> sideways, 06:31:45 -> sideways, 06:33:45 -> sideways, 06:34:00 -> sideways

  ws30r flips to true  at dr +1 : 324
  ws30r flips to true  at dr -1 : 288
  ws20r flips to false at dr +1 : 337
  ws20r flips to false at dr -1 : 385
  rows: 1,334

  utc                  event           dr   from      to        
  2026-08-03 21:39:10  ws30r true      -1   curl      momo      
  2026-08-03 21:39:40  ws30r true      -1   curl      momo      
  2026-08-03 21:39:50  ws30r true      -1   curl      momo      
  2026-08-03 21:40:05  ws30r true      -1   curl      momo      
  2026-08-03 21:43:30  ws30r true      -1   sideways  momo      
  2026-08-03 22:57:00  ws30r true      -1   sideways  momo      
  2026-08-03 22:58:50  ws30r true      -1   sideways  momo      
  2026-08-04 00:54:00  ws20r false     +1   momo      sideways  
  2026-08-04 00:55:45  ws20r false     +1   momo      sideways  
  2026-08-04 00:55:55  ws20r false     +1   momo      sideways  
  2026-08-04 05:46:30  ws30r true      -1   curl      momo      
  2026-08-04 05:56:10  ws20r false     -1   momo      sideways  
  2026-08-04 05:57:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:11:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:13:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:13:50  ws20r false     -1   momo      sideways  
  2026-08-04 06:16:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:16:45  ws20r false     -1   momo      sideways  
  2026-08-04 06:20:35  ws20r false     -1   momo      sideways  
  2026-08-04 06:22:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:25:55  ws20r false     -1   momo      sideways  
  2026-08-04 06:28:55  ws20r false     -1   momo      sideways  
  2026-08-04 06:31:00  ws20r false     -1   momo      sideways  
  2026-08-04 06:31:35  ws20r false     -1   momo      sideways  
  2026-08-04 06:31:45  ws20r false     -1   momo      sideways  
  2026-08-04 06:33:45  ws20r false     -1   momo      sideways  
  2026-08-04 06:34:00  ws20r false     -1   momo      sideways  
  2026-08-04 09:00:00  ws30r true      +1   none      momo      
  2026-08-04 09:02:45  ws30r true      +1   sideways  momo      
  2026-08-04 09:04:30  ws30r true      +1   sideways  momo      
  2026-08-04 09:27:00  ws30r true      +1   sideways  momo      
  2026-08-04 09:27:20  ws30r true      +1   sideways  momo      
  2026-08-04 09:28:20  ws30r true      +1   sideways  momo      
  2026-08-04 09:34:45  ws30r true      +1   sideways  momo      
  2026-08-04 09:35:15  ws30r true      +1   sideways  momo      
  2026-08-04 09:35:25  ws30r true      +1   sideways  momo      
  2026-08-04 09:36:00  ws20r false     +1   momo      sideways  
  2026-08-04 09:36:00  ws30r true      +1   sideways  momo      
  2026-08-04 09:37:00  ws20r false     +1   momo      sideways  
  2026-08-04 09:39:15  ws30r true      +1   sideways  momo      
  2026-08-04 09:40:50  ws30r true      +1   sideways  momo      
  2026-08-04 09:41:25  ws30r true      +1   sideways  momo      
  2026-08-04 09:41:40  ws30r true      +1   sideways  momo      
  2026-08-04 09:43:45  ws30r true      +1   none      momo      
  2026-08-04 09:45:20  ws30r true      +1   none      momo      
  2026-08-04 09:45:55  ws30r true      +1   none      momo      
  2026-08-04 10:11:50  ws30r true      +1   sideways  momo      
  2026-08-04 10:13:30  ws30r true      +1   sideways  momo      
  2026-08-04 10:18:00  ws30r true      +1   sideways  momo      
  2026-08-04 10:22:30  ws30r true      +1   sideways  momo      
  2026-08-04 10:27:00  ws30r true      +1   sideways  momo      
  2026-08-04 10:27:30  ws30r true      +1   sideways  momo      
  2026-08-04 10:37:20  ws30r true      +1   sideways  momo      
  2026-08-04 10:44:50  ws30r true      +1   sideways  momo      
  2026-08-04 10:45:05  ws30r true      +1   sideways  momo      
  2026-08-04 10:47:30  ws30r true      +1   sideways  momo      
  2026-08-04 10:48:25  ws30r true      +1   sideways  momo      
  2026-08-04 10:48:55  ws30r true      +1   sideways  momo      
  2026-08-04 11:03:55  ws30r true      +1   sideways  momo      
  2026-08-04 11:07:10  ws30r true      +1   sideways  momo      
  2026-08-04 11:09:05  ws30r true      +1   sideways  momo      
  2026-08-04 11:09:35  ws30r true      +1   sideways  momo      
  2026-08-04 13:43:30  ws30r true      -1   curl      momo      
  2026-08-04 13:43:45  ws30r true      -1   curl      momo      
  2026-08-04 13:44:20  ws30r true      -1   curl      momo      
  2026-08-04 13:46:30  ws30r true      -1   curl      momo      
  2026-08-04 13:54:00  ws20r false     -1   momo      none      
  2026-08-04 14:08:00  ws20r false     -1   momo      sideways  
  2026-08-04 14:39:00  ws30r true      -1   sideways  momo      
  2026-08-04 14:47:55  ws20r false     -1   momo      none      
  2026-08-04 15:45:00  ws20r false     +1   momo      sideways  
  2026-08-04 15:48:25  ws20r false     +1   momo      sideways  
  2026-08-04 15:48:40  ws20r false     +1   momo      sideways  
  2026-08-04 15:54:40  ws20r false     +1   momo      sideways  
  2026-08-04 15:57:00  ws20r false     +1   momo      sideways  
  2026-08-04 16:40:00  ws20r false     +1   momo      sideways  
  2026-08-04 17:31:45  ws30r true      +1   curl      momo      
  2026-08-04 17:32:00  ws30r true      +1   curl      momo      
  2026-08-04 17:32:10  ws30r true      +1   curl      momo      
  2026-08-04 17:32:35  ws30r true      +1   curl      momo      
  2026-08-04 17:33:45  ws30r true      +1   curl      momo      
  2026-08-04 22:48:00  ws20r false     -1   momo      sideways  
  2026-08-04 22:51:00  ws20r false     -1   momo      sideways  
  2026-08-04 22:51:40  ws20r false     -1   momo      sideways  
  2026-08-04 22:51:55  ws20r false     -1   momo      sideways  
  2026-08-04 22:53:45  ws20r false     -1   momo      sideways  
  2026-08-04 22:56:00  ws20r false     -1   momo      sideways  
  2026-08-04 23:00:00  ws30r true      -1   none      momo      
  2026-08-04 23:08:00  ws20r false     -1   momo      sideways  
  2026-08-05 00:20:00  ws20r false     -1   momo      sideways  
  2026-08-05 01:38:15  ws30r true      -1   none      momo      
  2026-08-05 02:30:00  ws30r true      +1   none      momo      
  2026-08-05 03:28:10  ws20r false     +1   momo      none      
  2026-08-05 03:28:20  ws20r false     +1   momo      none      
  2026-08-05 03:30:55  ws20r false     +1   momo      none      
  2026-08-05 03:38:45  ws30r true      +1   none      momo      
  2026-08-05 04:59:15  ws20r false     -1   momo      none      
  2026-08-05 04:59:30  ws20r false     -1   momo      none      
  2026-08-05 06:33:00  ws20r false     +1   momo      sideways  
  2026-08-05 06:34:00  ws20r false     +1   momo      sideways  
  2026-08-05 06:36:00  ws20r false     +1   momo      sideways  
  2026-08-05 06:36:15  ws20r false     +1   momo      sideways  
  2026-08-05 06:37:00  ws20r false     +1   momo      sideways  
  2026-08-05 06:42:00  ws20r false     +1   momo      sideways  
  2026-08-05 06:54:00  ws20r false     +1   momo      sideways  
  2026-08-05 06:54:10  ws20r false     +1   momo      sideways  
  2026-08-05 06:57:00  ws20r false     +1   momo      sideways  
  2026-08-05 07:31:05  ws30r true      +1   sideways  momo      
  2026-08-05 07:31:40  ws30r true      +1   sideways  momo      
  2026-08-05 07:35:20  ws30r true      +1   sideways  momo      
  2026-08-05 07:35:35  ws30r true      +1   sideways  momo      
  2026-08-05 07:36:05  ws30r true      +1   sideways  momo      
  2026-08-05 07:36:20  ws20r false     -1   momo      sideways  
  2026-08-05 07:36:45  ws20r false     -1   momo      sideways  
  2026-08-05 07:40:55  ws30r true      +1   none      momo      
  2026-08-05 07:41:30  ws30r true      +1   none      momo      
  2026-08-05 08:03:05  ws20r false     -1   momo      none      
  2026-08-05 08:04:45  ws20r false     -1   momo      none      
  2026-08-05 09:45:30  ws30r true      -1   sideways  momo      
  2026-08-05 09:46:20  ws30r true      -1   sideways  momo      
  2026-08-05 09:48:30  ws30r true      -1   sideways  momo      
  2026-08-05 09:51:45  ws30r true      -1   sideways  momo      
  2026-08-05 09:52:00  ws30r true      -1   sideways  momo      
  2026-08-05 09:52:40  ws30r true      -1   sideways  momo      
  2026-08-05 09:56:45  ws30r true      -1   sideways  momo      
  2026-08-05 09:57:20  ws30r true      -1   sideways  momo      
  2026-08-05 09:58:35  ws30r true      -1   sideways  momo      
  2026-08-05 10:00:05  ws30r true      -1   sideways  momo      
  2026-08-05 10:00:30  ws30r true      -1   sideways  momo      
  2026-08-05 10:01:30  ws30r true      -1   sideways  momo      
  2026-08-05 10:03:30  ws30r true      -1   sideways  momo      
  2026-08-05 10:04:35  ws30r true      -1   sideways  momo      
  2026-08-05 10:08:00  ws30r true      -1   sideways  momo      
  2026-08-05 10:09:05  ws30r true      -1   sideways  momo      
  2026-08-05 10:30:05  ws30r true      -1   sideways  momo      
  2026-08-05 10:30:35  ws30r true      -1   sideways  momo      
  2026-08-05 10:30:50  ws30r true      -1   sideways  momo      
  2026-08-05 10:31:20  ws30r true      -1   sideways  momo      
  2026-08-05 10:45:00  ws30r true      -1   none      momo      
  2026-08-05 10:45:50  ws30r true      -1   none      momo      
  2026-08-05 10:47:30  ws30r true      -1   none      momo      
  2026-08-05 11:39:00  ws30r true      -1   curl      momo      
  2026-08-05 12:00:20  ws20r false     -1   momo      sideways  
  2026-08-05 12:00:40  ws20r false     -1   momo      sideways  
  2026-08-05 12:00:55  ws20r false     -1   momo      sideways  
  2026-08-05 12:01:20  ws20r false     -1   momo      sideways  
  2026-08-05 12:02:05  ws20r false     -1   momo      sideways  
  2026-08-05 12:05:05  ws20r false     -1   momo      sideways  
  2026-08-05 12:07:05  ws20r false     -1   momo      none      
  2026-08-05 12:24:25  ws30r true      -1   none      momo      
  2026-08-05 12:24:50  ws30r true      -1   none      momo      
  2026-08-05 13:34:10  ws20r false     -1   momo      sideways  
  2026-08-05 13:36:25  ws20r false     -1   momo      sideways  
  2026-08-05 13:36:40  ws20r false     -1   momo      sideways  
  2026-08-05 14:45:00  ws20r false     +1   momo      none      
  2026-08-05 14:46:45  ws20r false     +1   momo      none      
  2026-08-05 15:38:00  ws30r true      +1   curl      momo      
  2026-08-05 15:38:15  ws30r true      +1   curl      momo      
  2026-08-05 15:38:50  ws30r true      +1   curl      momo      
  2026-08-05 15:43:55  ws30r true      +1   none      momo      
  2026-08-05 15:44:30  ws30r true      +1   none      momo      
  2026-08-05 15:52:10  ws30r true      +1   none      momo      
  2026-08-05 15:53:15  ws30r true      +1   none      momo      
  2026-08-05 16:00:00  ws30r true      +1   none      momo      
  2026-08-05 16:08:00  ws20r false     +1   momo      none      
  2026-08-05 16:25:35  ws30r true      +1   sideways  momo      
  2026-08-05 16:27:00  ws30r true      +1   sideways  momo      
  2026-08-05 16:30:00  ws30r true      +1   sideways  momo      
  2026-08-05 16:30:45  ws30r true      +1   sideways  momo      
  2026-08-05 16:34:30  ws30r true      +1   sideways  momo      
  2026-08-05 18:01:30  ws30r true      +1   sideways  momo      
  2026-08-05 18:03:35  ws30r true      +1   sideways  momo      
  2026-08-05 18:03:45  ws30r true      +1   sideways  momo      
  2026-08-05 18:07:40  ws30r true      +1   sideways  momo      
  2026-08-05 18:08:00  ws30r true      +1   sideways  momo      
  2026-08-05 18:12:30  ws30r true      +1   sideways  momo      
  2026-08-05 18:42:05  ws20r false     -1   momo      sideways  
  2026-08-05 18:43:05  ws20r false     -1   momo      sideways  
  2026-08-05 19:16:45  ws30r true      -1   none      momo      
  2026-08-05 19:17:05  ws30r true      -1   none      momo      
  2026-08-05 19:19:20  ws30r true      -1   none      momo      
  2026-08-05 19:30:00  ws30r true      -1   none      momo      
  2026-08-05 19:37:10  ws20r false     -1   momo      sideways  
  2026-08-05 19:40:10  ws20r false     -1   momo      sideways  
  2026-08-05 19:41:20  ws20r false     -1   momo      sideways  
  2026-08-05 20:00:30  ws20r false     -1   momo      sideways  
  2026-08-05 20:00:40  ws20r false     -1   momo      sideways  
  2026-08-05 20:16:00  ws20r false     -1   momo      none      
  2026-08-05 20:35:20  ws30r true      -1   none      momo      
  2026-08-05 20:36:00  ws30r true      -1   none      momo      
  2026-08-05 22:31:30  ws30r true      +1   sideways  momo      
  2026-08-05 22:34:30  ws30r true      +1   sideways  momo      
  2026-08-05 22:39:35  ws30r true      +1   sideways  momo      
  2026-08-05 22:40:00  ws20r false     +1   momo      none      
  2026-08-05 22:40:30  ws30r true      +1   sideways  momo      
  2026-08-05 22:44:05  ws30r true      +1   sideways  momo      
  2026-08-05 22:45:05  ws30r true      +1   sideways  momo      
  2026-08-05 22:48:00  ws30r true      +1   sideways  momo      
  2026-08-05 22:48:35  ws30r true      +1   sideways  momo      
  2026-08-05 22:51:50  ws30r true      +1   sideways  momo      
