all_wsf_flatruns   spec_label 22_go_20260921
  knobs      fence17.83_samples3_tol2_back96
  win        2026-09-01..2026-09-06
  each cell  the FIRST flat-run bar at or after awf_sig_utc - 8 min, at the row's own dr
             a cell EARLIER than awf_sig_utc fired BEFORE the signal.  "-" = none
  producer   flat_run_at, r-momo-fence 17/83, samples 3, tol 2.0
  hh:mm      the cells print hh:mm, as on screen.  The TABLE holds full DATETIME(3), so a
             cell that lands on the next day is unambiguous there and not here

  inst dr  awf_sig_utc       ws1    ws2    ws3    ws4    ws5    ws6    ws7    ws8    ws9    ws10   ws11   ws12  
  --------------------------------------------------------------------------------------------------------------
  v7   +1  09-01 00:27:20 00:19 00:24 00:21 00:20 00:25 00:24 00:28 00:32 00:19 03:40 00:22 10:12
  v7   -1  09-01 02:10:15 02:40 02:02 02:06 02:16 02:20 04:12 06:39 02:40 06:54 02:12 02:12 02:12
  v7   -1  09-01 02:40:20 02:40 03:52 04:00 04:04 04:10 04:12 06:39 02:40 06:54 02:37 02:45 02:32
  v7   +1  09-01 03:40:05 03:33 04:26 05:42 05:44 05:55 03:32 03:32 03:36 09:45 03:40 10:06 10:12
  v7   +1  09-01 04:26:00 04:43 04:26 05:42 05:44 05:55 09:42 09:41 05:44 09:45 10:00 10:06 10:12
  v7   -1  09-01 05:01:15 05:13 05:22 06:03 06:12 06:25 06:36 06:39 06:40 06:54 07:00 07:09 07:12
  v7   +1  09-01 05:43:05 05:35 05:36 05:42 05:44 05:55 09:42 09:41 05:44 09:45 10:00 10:06 10:12
  v7   -1  09-01 07:14:45 07:32 07:40 08:17 08:08 08:15 07:06 07:06 07:06 07:06 07:06 07:09 07:12
  v7   -1  09-01 07:14:45 07:32 07:40 08:17 08:08 08:15 07:06 07:06 07:06 07:06 07:06 07:09 07:12
  v7   +1  09-01 07:27:00 07:20 07:24 07:19 07:24 09:45 09:42 09:41 09:44 09:45 10:00 10:06 10:12
  v7   -1  09-01 08:18:00 08:11 08:10 08:17 08:10 08:15 08:24 08:31 12:32 08:33 12:50 12:50 09:00
  v7   -1  09-01 08:42:00 09:31 09:06 10:57 11:00 08:34 08:34 12:29 12:32 08:41 12:50 12:50 09:00
  v7   -1  09-01 09:02:00 09:31 09:06 10:57 11:00 11:15 11:18 12:29 12:32 08:55 12:50 12:50 09:00
  v7   -1  09-01 12:41:30 12:54 12:40 12:45 13:01 12:33 12:33 12:33 12:33 12:45 12:50 12:50 12:48
  v7   +1  09-01 13:47:45 13:49 15:24 14:48 13:39 13:39 13:43 13:46 13:52 13:57 14:10 14:21 14:25
  v7   +1  09-01 14:49:45 14:49 15:24 14:48 15:44 15:50 19:18 17:30 17:36 17:33 19:40 14:47 14:41
  v7   +1  09-01 14:49:45 14:49 15:24 14:48 15:44 15:50 19:18 17:30 17:36 17:33 19:40 14:47 14:41
  v7   -1  09-01 15:08:00 15:10 15:02 15:06 15:12 15:20 15:24 15:31 15:04 18:36 18:30 18:42 18:48
  v7   -1  09-01 16:15:20 16:07 16:07 16:07 16:16 16:25 16:36 18:19 18:24 18:36 18:30 18:42 18:48
  v7   -1  09-01 16:37:00 17:56 17:44 17:54 17:56 16:29 16:36 18:19 18:24 18:36 18:30 18:42 18:48
  v7   +1  09-01 17:27:50 17:23 17:28 17:27 17:32 17:30 19:18 17:30 17:36 17:33 19:40 19:48 23:48
  v7   -1  09-01 17:59:55 17:56 17:54 17:54 17:56 18:05 18:15 18:19 18:24 18:36 18:30 18:42 18:48
  v7   -1  09-01 18:19:45 19:11 18:20 18:14 18:11 18:12 18:15 18:19 18:24 18:36 18:30 18:42 18:48
  v7   -1  09-01 18:40:30 19:11 19:43 19:51 18:32 18:32 18:32 18:32 18:32 18:36 18:32 18:42 18:48
  v7   -1  09-01 18:40:30 19:11 19:43 19:51 18:32 18:32 18:32 18:32 18:32 18:36 18:32 18:42 18:48
  v7   -1  09-01 21:18:10 21:10 21:14 22:30 22:38 21:35 01:54 04:12 01:00 04:21 21:21 21:33 21:24
  v7   -1  09-01 21:21:20 21:13 21:14 22:30 22:38 21:35 01:54 04:12 01:00 04:21 21:21 21:33 21:24
  v7   -1  09-01 21:37:20 21:33 23:24 22:30 22:38 21:35 01:54 04:12 01:00 04:21 21:40 21:33 21:29
  v7   -1  09-01 21:57:20 22:21 23:24 22:30 22:38 00:25 01:54 04:12 01:00 04:21 22:00 05:08 21:49
  v7   -1  09-01 22:23:55 22:21 23:24 22:30 22:38 00:25 01:54 04:12 01:00 04:21 22:16 05:08 22:15
  v7   -1  09-01 22:23:55 22:21 23:24 22:30 22:38 00:25 01:54 04:12 01:00 04:21 22:16 05:08 22:15
  v7   -1  09-01 23:25:00 23:19 23:24 23:21 01:44 00:25 01:54 04:12 01:00 04:21 01:00 05:08 02:24
  v7   -1  09-02 00:39:25 00:31 00:31 01:51 01:44 00:31 01:54 04:12 01:00 04:21 01:00 05:08 02:24
  v7   -1  09-02 01:03:25 01:21 01:28 01:51 01:44 01:50 01:54 04:12 01:00 04:21 01:00 05:08 02:24
  v7   -1  09-02 01:30:25 01:22 01:28 01:51 01:44 01:50 01:54 04:12 04:16 04:21 02:20 05:08 02:24
  v7   -1  09-02 01:41:15 01:40 01:33 01:51 01:44 01:50 01:54 04:12 04:16 04:21 02:20 05:08 02:24
  v7   -1  09-02 01:57:00 03:35 03:42 01:51 01:49 01:50 01:54 04:12 04:16 04:21 02:20 05:08 02:24
  v7   -1  09-02 03:45:10 03:37 03:42 03:48 03:52 04:00 04:06 04:12 04:16 04:21 04:57 05:08 05:12
  v7   -1  09-02 03:45:10 03:37 03:42 03:48 03:52 04:00 04:06 04:12 04:16 04:21 04:57 05:08 05:12
  v7   -1  09-02 05:06:15 04:58 04:58 05:03 06:20 06:29 06:30 06:32 08:00 09:20 04:58 05:08 05:12
  v7   +1  09-02 07:11:00 08:08 07:10 08:18 09:20 13:30 12:06 12:01 12:08 12:00 16:30 12:28 11:00
  v7   -1  09-02 07:30:30 08:22 07:26 07:30 07:32 07:40 07:48 07:56 08:00 09:20 17:30 13:37 08:48
  v7   -1  09-02 08:34:45 08:26 08:28 09:48 08:50 08:50 08:54 13:11 13:12 09:20 17:30 13:37 08:48
  v7   -1  09-02 08:34:45 08:26 08:28 09:48 08:50 08:50 08:54 13:11 13:12 09:20 17:30 13:37 08:48
  v7   -1  09-02 08:48:00 08:54 09:22 09:48 08:50 08:50 08:54 13:11 13:12 09:20 17:30 13:37 08:48
  v7   -1  09-02 08:54:30 08:54 09:22 09:48 08:50 08:50 08:54 13:11 13:12 09:20 17:30 13:37 08:48
  v7   -1  09-02 09:43:00 09:36 09:42 09:48 12:48 12:55 13:07 13:11 13:12 13:12 17:30 13:37 09:35
  v7   -1  09-02 10:47:10 10:44 10:39 10:46 12:48 12:55 13:07 13:11 13:12 13:12 17:30 13:37 17:36
  v7   -1  09-02 13:00:10 12:58 12:56 12:52 12:52 12:55 13:07 13:11 13:12 13:12 17:30 13:37 17:36
  v7   +1  09-02 14:09:10 14:45 15:44 15:33 16:28 16:26 14:01 20:25 14:08 20:51 16:30 16:30 20:49
  v7   -1  09-02 15:14:50 15:12 16:38 15:07 16:52 15:15 17:06 15:10 15:12 15:28 17:30 15:13 17:36
  v7   -1  09-02 15:14:50 15:12 16:38 15:07 16:52 15:15 17:06 15:10 15:12 15:28 17:30 15:13 17:36
  v7   +1  09-02 16:23:45 16:18 16:15 16:18 16:28 16:26 19:18 20:25 16:16 20:51 16:30 16:30 20:49
  v7   -1  09-02 17:10:20 17:22 18:08 17:02 17:02 17:02 17:06 17:09 17:20 17:15 17:30 17:36 17:36
  v7   -1  09-02 18:11:30 18:04 18:08 18:15 18:24 21:26 18:42 18:40 00:56 09:27 04:20 09:21 04:24
  v7   -1  09-02 18:15:00 18:14 18:08 18:15 18:24 21:26 18:42 18:40 00:56 09:27 04:20 09:21 04:24
  v7   -1  09-02 18:40:00 18:32 19:22 19:27 19:36 21:26 18:42 18:40 00:56 09:27 04:20 09:21 04:24
  v7   -1  09-02 19:20:35 19:19 19:22 19:27 19:36 21:26 22:24 01:01 00:56 09:27 04:20 09:21 04:24
  v7   -1  09-02 22:22:20 22:24 22:56 22:14 22:20 00:35 22:24 01:01 00:56 09:27 04:20 09:21 04:24
  v7   +1  09-03 00:00:35 23:52 23:54 23:57 00:04 01:20 01:24 01:38 01:44 23:52 23:52 23:52 23:52
  v7   +1  09-03 02:52:20 02:52 03:56 04:00 05:04 05:05 11:18 02:49 06:40 06:36 11:30 06:36 11:48
  v7   +1  09-03 06:26:55 06:39 06:28 06:39 06:44 11:00 11:18 06:33 06:40 06:36 11:30 06:36 11:48
  v7   +1  09-03 07:06:05 07:03 07:44 11:00 10:56 11:00 11:18 11:12 11:28 11:26 11:30 11:44 11:48
  v7   +1  09-03 07:40:30 07:38 07:44 11:00 10:56 11:00 11:18 11:12 11:28 11:26 11:30 11:44 11:48
  v7   +1  09-03 07:43:45 07:38 07:44 11:00 10:56 11:00 11:18 11:12 11:28 11:26 11:30 11:44 11:48
  v7   +1  09-03 08:09:30 08:01 08:08 11:00 10:56 11:00 11:18 11:12 11:28 11:26 11:30 11:44 11:48
  v7   +1  09-03 11:47:20 12:07 12:16 13:39 11:48 11:50 11:39 11:39 11:39 11:39 11:39 11:44 11:48
  v7   +1  09-03 12:49:05 12:52 12:57 13:39 13:44 14:50 14:48 14:56 14:58 15:00 19:30 12:47 13:49
  v7   +1  09-03 14:22:50 14:14 14:18 14:24 14:32 14:50 14:48 14:56 14:58 15:00 19:30 18:47 19:24
  v7   +1  09-03 14:23:30 14:15 14:18 14:24 14:32 14:50 14:48 14:56 14:58 15:00 19:30 18:47 19:24
  v7   +1  09-03 15:00:20 15:18 15:34 15:42 16:12 14:54 14:52 14:56 14:58 15:00 19:30 18:47 19:24
  v7   +1  09-03 16:51:25 16:50 16:52 16:51 19:01 19:05 23:54 23:55 19:20 00:18 19:30 18:47 19:24
  v7   +1  09-03 18:49:30 19:22 18:52 18:57 19:01 19:05 23:54 23:55 19:20 00:18 19:30 18:47 19:24
  v7   +1  09-03 18:49:30 19:22 18:52 18:57 19:01 19:05 23:54 23:55 19:20 00:18 19:30 18:47 19:24
  v7   +1  09-03 19:06:20 19:22 18:59 18:59 19:01 19:05 23:54 23:55 19:20 00:18 19:30 18:58 19:24
  v7   +1  09-03 19:27:15 19:22 19:28 23:36 21:32 21:30 23:54 23:55 19:20 00:18 19:30 19:21 19:24
  v7   -1  09-04 01:35:45 01:28 01:32 01:42 02:36 02:50 01:32 01:29 01:36 04:03 01:40 04:13 10:24
  v7   -1  09-04 01:35:45 01:28 01:32 01:42 02:36 02:50 01:32 01:29 01:36 04:03 01:40 04:13 10:24
  v7   +1  09-04 03:04:50 02:56 03:00 04:21 04:28 04:30 11:08 11:19 11:20 11:33 11:40 16:30 12:08
  v7   -1  09-04 04:03:30 04:00 04:08 04:51 05:00 03:56 03:56 03:56 04:00 04:03 04:10 04:13 10:24
  v7   -1  09-04 04:06:40 04:00 04:08 04:51 05:00 03:58 03:58 03:58 04:00 04:03 04:10 04:13 10:24
  v7   +1  09-04 04:30:00 04:51 04:22 04:22 04:28 04:30 11:08 11:19 11:20 11:33 11:40 16:30 12:08
  v7   +1  09-04 05:45:55 05:57 06:42 06:12 07:16 07:15 11:08 11:19 11:20 11:33 11:40 16:30 12:08
  v7   +1  09-04 05:45:55 05:57 06:42 06:12 07:16 07:15 11:08 11:19 11:20 11:33 11:40 16:30 12:08
  v7   +1  09-04 07:01:35 07:04 07:08 10:39 07:16 07:15 11:08 11:19 11:20 11:33 11:40 16:30 12:08
  v7   +1  09-04 07:15:20 07:13 07:08 10:39 07:16 07:15 11:08 11:19 11:20 11:33 11:40 16:30 12:08
  v7   -1  09-04 10:20:00 10:45 10:13 10:12 10:16 12:15 10:18 10:23 10:16 10:12 10:20 10:27 10:24
  v7   -1  09-04 10:20:00 10:45 10:13 10:12 10:16 12:15 10:18 10:23 10:16 10:12 10:20 10:27 10:24
